excel_row,source_code,permalink
152,2001-H361-55,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0075?accountid=10598
153,2001-H361-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0079?accountid=10598
154,2001-H371-21,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hfs-0043?accountid=10598
155,2001-H461-30,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hir-0078?accountid=10598
156,2001-H521-1,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hjh-0030?accountid=10598
157,2001-H651-12,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0006?accountid=10598
158,2001-H651-13,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0007?accountid=10598
159,2001-H651-19,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hrc-0052?accountid=10598
160,2001-H651-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0015?accountid=10598
161,2001-H651-23,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0013?accountid=10598
162,2001-H651-24,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0014?accountid=10598
163,2001-H651-3,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hrc-0053?accountid=10598
164,2001-H651-32,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hrc-0077?accountid=10598
165,2001-H651-6,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0017?accountid=10598
166,2001-H651-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hrc-0018?accountid=10598
167,2001-H721-5,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-smb-0027?accountid=10598
168,2001-H751-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0047?accountid=10598
169,2001-H751-22,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0050?accountid=10598
170,2001-H751-33,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hti-0021?accountid=10598
171,2001-H751-5,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0053?accountid=10598
172,2001-H751-6,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hti-0049?accountid=10598
173,2001-H751-62,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hti-0050?accountid=10598
174,2001-H751-66,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hti-0053?accountid=10598
